Class;Code;TimeStamp;Decription;CodeExtension;SerialNumber
Operating code;60.170.014;04.04.2024 08:30;Handradstellung von Vapor 3000 verändert;S2 P1 C00000167 PR00 #1#3#0#7#25d00405#5#2#25d00308#3.832000#201a#8#25d0040b#4#1#25d00308#3.652000#201a#7#25d0040b#4#5#Vapor View slot 1 (Sev): Changed from 3.8 to 3.7;
Operating code;60.170.014;04.04.2024 08:33;Handradstellung von Vapor 3000 verändert;S2 P1 C00000168 PR00 #1#3#0#7#25d00405#5#2#25d00308#3.652000#201a#8#25d0040b#4#1#25d00308#2.542000#201a#7#25d0040b#4#5#Vapor View slot 1 (Sev): Changed from 3.7 to 2.5;
Operating code;60.170.014;04.04.2024 08:45;Handradstellung von Vapor 3000 verändert;S2 P1 C00000177 PR00 #1#3#0#7#25d00405#5#2#25d00308#2.542000#201a#8#25d0040b#4#1#25d00308#3.562000#201a#7#25d0040b#4#5#Vapor View slot 1 (Sev): Changed from 2.5 to 3.6;
Operating code;60.170.014;04.04.2024 08:52;Handradstellung von Vapor 3000 verändert;S2 P1 C00000179 PR00 #1#3#0#7#25d00405#5#2#25d00308#3.562000#201a#8#25d0040b#4#1#25d00308#4.532000#201a#7#25d0040b#4#5#Vapor View slot 1 (Sev): Changed from 3.6 to 4.5;
Operating code;60.170.014;04.04.2024 08:56;Handradstellung von Vapor 3000 verändert;S2 P1 C00000183 PR00 #1#3#0#7#25d00405#5#2#25d00308#4.532000#201a#8#25d0040b#4#1#25d00308#5.582000#201a#7#25d0040b#4#5#Vapor View slot 1 (Sev): Changed from 4.5 to 5.6;
Operating code;60.170.014;04.04.2024 09:13;Handradstellung von Vapor 3000 verändert;S2 P1 C00000187 PR00 #1#3#0#7#25d00405#5#2#25d00308#5.582000#201a#8#25d0040b#4#1#25d00308#3.872000#201a#7#25d0040b#4#5#Vapor View slot 1 (Sev): Changed from 5.6 to 3.9;
Operating code;60.170.014;04.04.2024 09:14;Handradstellung von Vapor 3000 verändert;S2 P1 C00000188 PR00 #1#3#0#7#25d00405#5#2#25d00308#3.872000#201a#8#25d0040b#4#1#25d00308#3.352000#201a#7#25d0040b#4#5#Vapor View slot 1 (Sev): Changed from 3.9 to 3.4;
Operating code;60.170.014;04.04.2024 10:05;Handradstellung von Vapor 3000 verändert;S2 P1 C00000205 PR00 #1#3#0#7#25d00405#5#2#25d00308#3.352000#201a#8#25d0040b#4#1#25d00308#3.012000#201a#7#25d0040b#4#5#Vapor View slot 1 (Sev): Changed from 3.4 to 3.0;
Operating code;60.170.014;04.04.2024 10:11;Handradstellung von Vapor 3000 verändert;S2 P1 C00000208 PR00 #1#3#0#7#25d00405#5#2#25d00308#3.012000#201a#8#25d0040b#4#1#25d00308#0.000000#201a#7#25d0040b#3#5#Vapor View slot 1 (Sev): Changed from 3.0 to ---;
Operating code;60.170.014;04.04.2024 10:11;Handradstellung von Vapor 3000 verändert;S2 P1 C00000209 PR00 #1#3#0#7#25d00405#5#2#25d00308#0.000000#201a#8#25d0040b#3#1#25d00308#0.000000#201a#7#25d0040b#2#5#Vapor View slot 1 (Sev): Changed from --- to 0.0;
Operating code;60.170.000;04.04.2024 10:27;Alarmgrenze oder Therapieeinstellung durch Anwender geändert;S2 P1 C00000213 PR00 #1#3#351000c9#2#300#0.300000#201d#8#400#1#1#300#15.000000#201d#7#400#1#5#Therapy setting Flow changed from 0.30l/min to 15.00l/min;
