Class;Code;TimeStamp;Decription;CodeExtension;SerialNumber
Operating code;60.170.014;03.04.2024 11:55;Handradstellung von Vapor 3000 verändert;S2 P1 C00000288 PR00 #1#3#0#7#25d00405#5#2#25d00308#1.492000#201a#8#25d0040b#4#1#25d00308#0.622000#201a#7#25d0040b#4#5#Vapor View slot 1 (Sev): Changed from 1.5 to 0.6;
Operating code;60.170.014;03.04.2024 12:04;Handradstellung von Vapor 3000 verändert;S2 P1 C00000303 PR00 #1#3#0#7#25d00405#5#2#25d00308#0.622000#201a#8#25d0040b#4#1#25d00308#1.972000#201a#7#25d0040b#4#5#Vapor View slot 1 (Sev): Changed from 0.6 to 2.0;
Operating code;60.170.014;03.04.2024 12:04;Handradstellung von Vapor 3000 verändert;S2 P1 C00000304 PR00 #1#3#0#7#25d00405#5#2#25d00308#1.972000#201a#8#25d0040b#4#1#25d00308#2.502000#201a#7#25d0040b#4#5#Vapor View slot 1 (Sev): Changed from 2.0 to 2.5;
Operating code;60.170.014;03.04.2024 12:15;Handradstellung von Vapor 3000 verändert;S2 P1 C00000327 PR00 #1#3#0#7#25d00405#5#2#25d00308#2.502000#201a#8#25d0040b#4#1#25d00308#3.962000#201a#7#25d0040b#4#5#Vapor View slot 1 (Sev): Changed from 2.5 to 4.0;
Operating code;60.170.014;03.04.2024 12:23;Handradstellung von Vapor 3000 verändert;S2 P1 C00000331 PR00 #1#3#0#7#25d00405#5#2#25d00308#3.962000#201a#8#25d0040b#4#1#25d00308#3.052000#201a#7#25d0040b#4#5#Vapor View slot 1 (Sev): Changed from 4.0 to 3.1;
Operating code;60.170.014;03.04.2024 13:12;Handradstellung von Vapor 3000 verändert;S2 P1 C00000354 PR00 #1#3#0#7#25d00405#5#2#25d00308#3.052000#201a#8#25d0040b#4#1#25d00308#2.932000#201a#7#25d0040b#4#5#Vapor View slot 1 (Sev): Changed from 3.1 to 2.9;
Operating code;60.170.000;03.04.2024 13:31;Alarmgrenze oder Therapieeinstellung durch Anwender geändert;S2 P1 C00000360 PR00 #1#3#351000c9#2#300#0.300000#201d#8#400#1#1#300#0.200000#201d#7#400#1#5#Therapy setting Flow changed from 0.30l/min to 0.20l/min;
Operating code;60.170.000;03.04.2024 13:36;Alarmgrenze oder Therapieeinstellung durch Anwender geändert;S2 P1 C00000363 PR00 #1#3#351000c9#2#300#0.200000#201d#8#400#1#1#300#0.300000#201d#7#400#1#5#Therapy setting Flow changed from 0.20l/min to 0.30l/min;
Operating code;60.170.014;03.04.2024 14:30;Handradstellung von Vapor 3000 verändert;S2 P1 C00000376 PR00 #1#3#0#7#25d00405#5#2#25d00308#2.932000#201a#8#25d0040b#4#1#25d00308#1.532000#201a#7#25d0040b#4#5#Vapor View slot 1 (Sev): Changed from 2.9 to 1.5;
Operating code;60.170.014;03.04.2024 14:33;Handradstellung von Vapor 3000 verändert;S2 P1 C00000377 PR00 #1#3#0#7#25d00405#5#2#25d00308#1.532000#201a#8#25d0040b#4#1#25d00308#0.000000#201a#7#25d0040b#3#5#Vapor View slot 1 (Sev): Changed from 1.5 to ---;
Operating code;60.170.014;03.04.2024 14:33;Handradstellung von Vapor 3000 verändert;S2 P1 C00000378 PR00 #1#3#0#7#25d00405#5#2#25d00308#0.000000#201a#8#25d0040b#3#1#25d00308#0.000000#201a#7#25d0040b#2#5#Vapor View slot 1 (Sev): Changed from --- to 0.0;
Operating code;60.170.014;03.04.2024 14:38;Handradstellung von Vapor 3000 verändert;S2 P1 C00000407 PR00 #1#3#0#7#25d00405#5#2#25d00308#0.000000#201a#8#25d0040b#2#1#25d00308#1.752000#201a#7#25d0040b#4#5#Vapor View slot 1 (Sev): Changed from 0.0 to 1.8;
Operating code;60.170.014;03.04.2024 14:42;Handradstellung von Vapor 3000 verändert;S2 P1 C00000418 PR00 #1#3#0#7#25d00405#5#2#25d00308#1.752000#201a#8#25d0040b#4#1#25d00308#3.012000#201a#7#25d0040b#4#5#Vapor View slot 1 (Sev): Changed from 1.8 to 3.0;
Operating code;60.170.014;03.04.2024 14:42;Handradstellung von Vapor 3000 verändert;S2 P1 C00000419 PR00 #1#3#0#7#25d00405#5#2#25d00308#3.012000#201a#8#25d0040b#4#1#25d00308#3.652000#201a#7#25d0040b#4#5#Vapor View slot 1 (Sev): Changed from 3.0 to 3.7;
Operating code;60.170.014;03.04.2024 14:42;Handradstellung von Vapor 3000 verändert;S2 P1 C00000420 PR00 #1#3#0#7#25d00405#5#2#25d00308#3.652000#201a#8#25d0040b#4#1#25d00308#4.012000#201a#7#25d0040b#4#5#Vapor View slot 1 (Sev): Changed from 3.7 to 4.0;
Operating code;60.170.014;03.04.2024 15:11;Handradstellung von Vapor 3000 verändert;S2 P1 C00000428 PR00 #1#3#0#7#25d00405#5#2#25d00308#4.012000#201a#8#25d0040b#4#1#25d00308#2.462000#201a#7#25d0040b#4#5#Vapor View slot 1 (Sev): Changed from 4.0 to 2.5;
Operating code;60.170.014;03.04.2024 15:11;Handradstellung von Vapor 3000 verändert;S2 P1 C00000429 PR00 #1#3#0#7#25d00405#5#2#25d00308#2.462000#201a#8#25d0040b#4#1#25d00308#0.000000#201a#7#25d0040b#3#5#Vapor View slot 1 (Sev): Changed from 2.5 to ---;
Operating code;60.170.014;03.04.2024 15:11;Handradstellung von Vapor 3000 verändert;S2 P1 C00000430 PR00 #1#3#0#7#25d00405#5#2#25d00308#0.000000#201a#8#25d0040b#3#1#25d00308#0.000000#201a#7#25d0040b#2#5#Vapor View slot 1 (Sev): Changed from --- to 0.0;
Operating code;60.170.000;03.04.2024 15:11;Alarmgrenze oder Therapieeinstellung durch Anwender geändert;S2 P1 C00000431 PR00 #1#3#351000c9#2#300#0.300000#201d#8#400#1#1#300#15.000000#201d#7#400#1#5#Therapy setting Flow changed from 0.30l/min to 15.00l/min;
